State,Year,Quater,District,reg_user,app_opens
"deoria district",2021,3,"deoria district",492048,10011054
"ghaziabad district",2021,3,"ghaziabad district",2031752,38066824
"amethi district",2021,4,"amethi district",264472,8500647
"siddharthnagar district",2021,4,"siddharthnagar district",268126,11309904
"auraiya district",2021,4,"auraiya district",203721,6612405
"sambhal district",2021,4,"sambhal district",219722,7592584
"kanpur nagar district",2021,4,"kanpur nagar district",1349794,34981290
"aligarh district",2021,4,"aligarh district",731096,24940432
"mahoba district",2021,4,"mahoba district",109417,3370832
"lucknow district",2021,4,"lucknow district",2215886,65244080
"sant kabeer nagar district",2021,4,"sant kabeer nagar district",206542,7429877
"hathras district",2021,4,"hathras district",247776,8866006
"budaun district",2021,4,"budaun district",290309,8646437
"moradabad district",2021,4,"moradabad district",496358,17198569
"kushinagar district",2021,4,"kushinagar district",547287,21821978
"baghpat district",2021,4,"baghpat district",257605,9123679
"shahjahanpur district",2021,4,"shahjahanpur district",336128,8051413
"muzaffarnagar district",2021,4,"muzaffarnagar district",480240,17005233
"ambedkar nagar district",2021,4,"ambedkar nagar district",325090,9477709
"bahraich district",2021,4,"bahraich district",245502,7041508
"jalaun district",2021,4,"jalaun district",246646,8392204
"rampur district",2021,4,"rampur district",264569,9524556
"ballia district",2021,4,"ballia district",513629,17655465
"shravasti district",2021,4,"shravasti district",63555,1885163
"kasganj district",2021,4,"kasganj district",170176,5438009
"varanasi district",2021,4,"varanasi district",1325315,32947562
"gautam buddha nagar district",2021,4,"gautam buddha nagar district",2664034,106538115
"basti district",2021,4,"basti district",344852,12800452
"shamli district",2021,4,"shamli district",203726,7458420
"maharajganj district",2021,4,"maharajganj district",352595,11595475
"etawah district",2021,4,"etawah district",267952,9316048
"etah district",2021,4,"etah district",230890,8015063
"banda district",2021,4,"banda district",166922,4693219
"bijnor district",2021,4,"bijnor district",474546,15441993
"hardoi district",2021,4,"hardoi district",345246,8663687
"balrampur district",2021,4,"balrampur district",161496,6228027
"amroha district",2021,4,"amroha district",262094,10321695
"pilibhit district",2021,4,"pilibhit district",250203,5578152
"mainpuri district",2021,4,"mainpuri district",267320,8714957
"kanpur dehat district",2021,4,"kanpur dehat district",201743,7039315
"jaunpur district",2021,4,"jaunpur district",698280,21320725
"kaushambi district",2021,4,"kaushambi district",136353,4006717
"hapur district",2021,4,"hapur district",309228,12341714
"hamirpur district",2021,4,"hamirpur district",139019,4101855
"meerut district",2021,4,"meerut district",911852,30248838
"mathura district",2021,4,"mathura district",674711,25736842
"chitrakoot district",2021,4,"chitrakoot district",97682,3192625
"lalitpur district",2021,4,"lalitpur district",167240,6745680
"mau district",2021,4,"mau district",314297,9333091
"mirzapur district",2021,4,"mirzapur district",337415,9532883
"bulandshahr district",2021,4,"bulandshahr district",574654,22212038
"gonda district",2021,4,"gonda district",328086,11353784
"jhansi district",2021,4,"jhansi district",497457,18602474
"chandauli district",2021,4,"chandauli district",322309,9366865
"bhadohi district",2021,4,"bhadohi district",245007,6929593
"pratapgarh district",2021,4,"pratapgarh district",397596,12726654
"saharanpur district",2021,4,"saharanpur district",625876,24467930
"bara banki district",2021,4,"bara banki district",313465,9099109
"bareilly district",2021,4,"bareilly district",821986,24139955
"sitapur district",2021,4,"sitapur district",428710,8366576
"sultanpur district",2021,4,"sultanpur district",323438,10055921
"agra district",2021,4,"agra district",1204274,39065873
"fatehpur district",2021,4,"fatehpur district",244390,6639155
"rae bareli district",2021,4,"rae bareli district",282965,8007627
"firozabad district",2021,4,"firozabad district",443735,13720711
"kheri district",2021,4,"kheri district",480851,8802799
"gorakhpur district",2021,4,"gorakhpur district",964667,31482311
"unnao district",2021,4,"unnao district",316042,8231448
"prayagraj district",2021,4,"prayagraj district",1414447,41302994
"sonbhadra district",2021,4,"sonbhadra district",292843,11574122
"ghazipur district",2021,4,"ghazipur district",552224,16930341
"farrukhabad district",2021,4,"farrukhabad district",248877,7866758
"kannauj district",2021,4,"kannauj district",213494,6740457
"azamgarh district",2021,4,"azamgarh district",624474,18834505
"ayodhya district",2021,4,"ayodhya district",399921,12244724
"deoria district",2021,4,"deoria district",528101,19515010
"ghaziabad district",2021,4,"ghaziabad district",2169109,65620930
"amethi district",2022,1,"amethi district",283285,9549931
"siddharthnagar district",2022,1,"siddharthnagar district",286990,14567713
"auraiya district",2022,1,"auraiya district",217723,6484845
"sambhal district",2022,1,"sambhal district",234926,9010245
"kanpur nagar district",2022,1,"kanpur nagar district",1431918,13306305
"aligarh district",2022,1,"aligarh district",778769,14195820
"mahoba district",2022,1,"mahoba district",117391,9999168
"lucknow district",2022,1,"lucknow district",2348173,14805785
"sant kabeer nagar district",2022,1,"sant kabeer nagar district",220942,4404751
"hathras district",2022,1,"hathras district",264734,6198459
"budaun district",2022,1,"budaun district",310467,16137282
"moradabad district",2022,1,"moradabad district",528459,9111603
"kushinagar district",2022,1,"kushinagar district",585162,8878928
"baghpat district",2022,1,"baghpat district",273913,5613358
"shahjahanpur district",2022,1,"shahjahanpur district",359822,13459500
"muzaffarnagar district",2022,1,"muzaffarnagar district",510605,11229672
"ambedkar nagar district",2022,1,"ambedkar nagar district",347805,5487699
"bahraich district",2022,1,"bahraich district",262870,16665248
"jalaun district",2022,1,"jalaun district",263573,18544106
"rampur district",2022,1,"rampur district",282442,9425506
"ballia district",2022,1,"ballia district",548285,7592872
"shravasti district",2022,1,"shravasti district",68179,5565051
"kasganj district",2022,1,"kasganj district",182189,5935949
"varanasi district",2022,1,"varanasi district",1406056,6339961
"gautam buddha nagar district",2022,1,"gautam buddha nagar district",2822463,19662404
"basti district",2022,1,"basti district",368788,7282881
"shamli district",2022,1,"shamli district",217044,5332538
"maharajganj district",2022,1,"maharajganj district",377520,8411383
"etawah district",2022,1,"etawah district",286261,9145306
"etah district",2022,1,"etah district",246989,8342531
"banda district",2022,1,"banda district",178647,13262034
"bijnor district",2022,1,"bijnor district",505579,16218600
"hardoi district",2022,1,"hardoi district",369745,19000597
"balrampur district",2022,1,"balrampur district",172888,12140005
"amroha district",2022,1,"amroha district",279928,8078212
"pilibhit district",2022,1,"pilibhit district",267438,9254610
"mainpuri district",2022,1,"mainpuri district",285752,8884695
"kanpur dehat district",2022,1,"kanpur dehat district",215966,13183908
"jaunpur district",2022,1,"jaunpur district",745837,8170651
"kaushambi district",2022,1,"kaushambi district",146004,5561337
"hapur district",2022,1,"hapur district",328694,4935570
"hamirpur district",2022,1,"hamirpur district",148893,11136453
"meerut district",2022,1,"meerut district",967325,11174775
"mathura district",2022,1,"mathura district",719040,15649266
"chitrakoot district",2022,1,"chitrakoot district",104504,10833118
"lalitpur district",2022,1,"lalitpur district",178791,22066384
"mau district",2022,1,"mau district",335310,3294192
"mirzapur district",2022,1,"mirzapur district",359993,14164109
"bulandshahr district",2022,1,"bulandshahr district",612406,13024759
"gonda district",2022,1,"gonda district",350931,15186086
"jhansi district",2022,1,"jhansi district",529169,20172645
"chandauli district",2022,1,"chandauli district",343632,6279911
"bhadohi district",2022,1,"bhadohi district",261266,1976717
"pratapgarh district",2022,1,"pratapgarh district",425208,9394913
"saharanpur district",2022,1,"saharanpur district",665784,17834197
"bara banki district",2022,1,"bara banki district",335222,11548753
"bareilly district",2022,1,"bareilly district",875033,14178473
"sitapur district",2022,1,"sitapur district",459091,18142935
"sultanpur district",2022,1,"sultanpur district",345466,6918627
"agra district",2022,1,"agra district",1279852,18048877
"fatehpur district",2022,1,"fatehpur district",261545,11261260
"rae bareli district",2022,1,"rae bareli district",301965,9915965
"firozabad district",2022,1,"firozabad district",473859,9080483
"kheri district",2022,1,"kheri district",514743,17952780
"gorakhpur district",2022,1,"gorakhpur district",1027283,13510549
"unnao district",2022,1,"unnao district",337537,13083095
"prayagraj district",2022,1,"prayagraj district",1504572,19196760
"sonbhadra district",2022,1,"sonbhadra district",312416,25876890
"ghazipur district",2022,1,"ghazipur district",589549,7240038
"farrukhabad district",2022,1,"farrukhabad district",266001,7563620
"kannauj district",2022,1,"kannauj district",228510,7913289
"azamgarh district",2022,1,"azamgarh district",666213,8513681
"ayodhya district",2022,1,"ayodhya district",426442,7593013
"deoria district",2022,1,"deoria district",563817,5830458
"ghaziabad district",2022,1,"ghaziabad district",2298103,11991935
"amethi district",2022,2,"amethi district",300525,11436478
"siddharthnagar district",2022,2,"siddharthnagar district",304650,19263366
"auraiya district",2022,2,"auraiya district",230779,6911646
"sambhal district",2022,2,"sambhal district",249076,10661309
"kanpur nagar district",2022,2,"kanpur nagar district",1510491,14442072
"aligarh district",2022,2,"aligarh district",824034,15990082
"mahoba district",2022,2,"mahoba district",124427,11591607
"lucknow district",2022,2,"lucknow district",2474317,14476877
"sant kabeer nagar district",2022,2,"sant kabeer nagar district",234372,4813258
"hathras district",2022,2,"hathras district",281014,5967908
"budaun district",2022,2,"budaun district",329179,17746487
"moradabad district",2022,2,"moradabad district",558719,9642386
"kushinagar district",2022,2,"kushinagar district",621030,9558845
"baghpat district",2022,2,"baghpat district",289373,5560247
"shahjahanpur district",2022,2,"shahjahanpur district",381911,14842623
"muzaffarnagar district",2022,2,"muzaffarnagar district",539583,12658205
"ambedkar nagar district",2022,2,"ambedkar nagar district",369511,6540014
"bahraich district",2022,2,"bahraich district",278827,20038054
"jalaun district",2022,2,"jalaun district",279182,21886956
"rampur district",2022,2,"rampur district",299289,10604808
"ballia district",2022,2,"ballia district",581226,8145856
"shravasti district",2022,2,"shravasti district",72312,7204357
"kasganj district",2022,2,"kasganj district",193531,6526475
"varanasi district",2022,2,"varanasi district",1483315,5512629
"gautam buddha nagar district",2022,2,"gautam buddha nagar district",2973360,18078405
"basti district",2022,2,"basti district",391480,8659484
"shamli district",2022,2,"shamli district",229756,6598737
"maharajganj district",2022,2,"maharajganj district",400839,10123844
"etawah district",2022,2,"etawah district",303513,11278786
"etah district",2022,2,"etah district",262230,9589352
"banda district",2022,2,"banda district",189165,17115780
"bijnor district",2022,2,"bijnor district",534931,19006763
"hardoi district",2022,2,"hardoi district",391720,21834845
"balrampur district",2022,2,"balrampur district",183374,16050144
"amroha district",2022,2,"amroha district",296694,9135737
"pilibhit district",2022,2,"pilibhit district",283534,10836549
"mainpuri district",2022,2,"mainpuri district",303347,10873855
"kanpur dehat district",2022,2,"kanpur dehat district",229258,15506392
"jaunpur district",2022,2,"jaunpur district",790310,8330349
"kaushambi district",2022,2,"kaushambi district",154837,6074413
"hapur district",2022,2,"hapur district",347378,5135381
"hamirpur district",2022,2,"hamirpur district",157910,12208162
"meerut district",2022,2,"meerut district",1020429,11351958
"mathura district",2022,2,"mathura district",760584,17031257
"chitrakoot district",2022,2,"chitrakoot district",110760,14874398
"lalitpur district",2022,2,"lalitpur district",189192,24216903
"mau district",2022,2,"mau district",355194,3766090
"mirzapur district",2022,2,"mirzapur district",381259,17213027
"bulandshahr district",2022,2,"bulandshahr district",648058,14215519
"gonda district",2022,2,"gonda district",371929,19015903
"jhansi district",2022,2,"jhansi district",558926,21279066
"chandauli district",2022,2,"chandauli district",363366,6537683
"bhadohi district",2022,2,"bhadohi district",276471,1850729
"pratapgarh district",2022,2,"pratapgarh district",450876,10911320
"saharanpur district",2022,2,"saharanpur district",703431,20499262
"bara banki district",2022,2,"bara banki district",355514,12672702
"bareilly district",2022,2,"bareilly district",925536,14558216
"sitapur district",2022,2,"sitapur district",487160,21608094
"sultanpur district",2022,2,"sultanpur district",366531,7966232
"agra district",2022,2,"agra district",1351856,18374965
"fatehpur district",2022,2,"fatehpur district",277199,14239290
"rae bareli district",2022,2,"rae bareli district",319786,11772997
"firozabad district",2022,2,"firozabad district",502113,9192067
"kheri district",2022,2,"kheri district",546247,21669627
"gorakhpur district",2022,2,"gorakhpur district",1086399,16050337
"unnao district",2022,2,"unnao district",357565,16364762
"prayagraj district",2022,2,"prayagraj district",1590032,20497875
"sonbhadra district",2022,2,"sonbhadra district",330599,30831544
"ghazipur district",2022,2,"ghazipur district",624588,7735743
"farrukhabad district",2022,2,"farrukhabad district",282388,8944686
"kannauj district",2022,2,"kannauj district",242692,9026735
"azamgarh district",2022,2,"azamgarh district",705372,9750509
"ayodhya district",2022,2,"ayodhya district",451594,8074551
"deoria district",2022,2,"deoria district",597729,6041211
"ghaziabad district",2022,2,"ghaziabad district",2421605,10885714
"amethi district",2022,3,"amethi district",317320,12874116
"siddharthnagar district",2022,3,"siddharthnagar district",322050,18562556
"auraiya district",2022,3,"auraiya district",243880,8616240
"sambhal district",2022,3,"sambhal district",263057,13049736
"kanpur nagar district",2022,3,"kanpur nagar district",1592126,15019139
"aligarh district",2022,3,"aligarh district",869751,18328964
"mahoba district",2022,3,"mahoba district",131487,13128704
"lucknow district",2022,3,"lucknow district",2604663,15412388
"sant kabeer nagar district",2022,3,"sant kabeer nagar district",248266,4260638
"hathras district",2022,3,"hathras district",297339,6404007
"budaun district",2022,3,"budaun district",347766,22880376
"moradabad district",2022,3,"moradabad district",590056,10611628
"kushinagar district",2022,3,"kushinagar district",658326,8588447
"baghpat district",2022,3,"baghpat district",305082,5125847
"shahjahanpur district",2022,3,"shahjahanpur district",403737,18268289
"muzaffarnagar district",2022,3,"muzaffarnagar district",569122,11393607
"ambedkar nagar district",2022,3,"ambedkar nagar district",391497,7173461
"bahraich district",2022,3,"bahraich district",293586,25343569
"jalaun district",2022,3,"jalaun district",294643,23114041
"rampur district",2022,3,"rampur district",316113,12867095
"ballia district",2022,3,"ballia district",615476,6722824
"shravasti district",2022,3,"shravasti district",76201,10193617
"kasganj district",2022,3,"kasganj district",204628,8007433
"varanasi district",2022,3,"varanasi district",1563730,4529669
"gautam buddha nagar district",2022,3,"gautam buddha nagar district",3130224,17308615
"basti district",2022,3,"basti district",414256,8548209
"shamli district",2022,3,"shamli district",242580,7118766
"maharajganj district",2022,3,"maharajganj district",424361,10002920
"etawah district",2022,3,"etawah district",320846,11291764
"etah district",2022,3,"etah district",276844,12994362
"banda district",2022,3,"banda district",199461,17195919
"bijnor district",2022,3,"bijnor district",564365,19324381
"hardoi district",2022,3,"hardoi district",413101,24728937
"balrampur district",2022,3,"balrampur district",193583,19475275
"amroha district",2022,3,"amroha district",313538,10652187
"pilibhit district",2022,3,"pilibhit district",299722,12620949
"mainpuri district",2022,3,"mainpuri district",320417,12059600
"kanpur dehat district",2022,3,"kanpur dehat district",242363,17931459
"jaunpur district",2022,3,"jaunpur district",836999,8200672
"kaushambi district",2022,3,"kaushambi district",163634,6261255
"hapur district",2022,3,"hapur district",366537,5376740
"hamirpur district",2022,3,"hamirpur district",166804,13111909
"meerut district",2022,3,"meerut district",1075255,11886840
"mathura district",2022,3,"mathura district",803538,18080955
"chitrakoot district",2022,3,"chitrakoot district",116747,15666318
"lalitpur district",2022,3,"lalitpur district",199494,29237113
"mau district",2022,3,"mau district",375672,3688508
"mirzapur district",2022,3,"mirzapur district",402235,19237238
"bulandshahr district",2022,3,"bulandshahr district",684412,14557438
"gonda district",2022,3,"gonda district",392403,18782702
"jhansi district",2022,3,"jhansi district",589478,25388945
"chandauli district",2022,3,"chandauli district",384127,6985851
"bhadohi district",2022,3,"bhadohi district",292737,1539529
"pratapgarh district",2022,3,"pratapgarh district",476843,11074622
"saharanpur district",2022,3,"saharanpur district",741236,21605787
"bara banki district",2022,3,"bara banki district",375287,15079533
"bareilly district",2022,3,"bareilly district",977218,17067283
"sitapur district",2022,3,"sitapur district",514752,26067655
"sultanpur district",2022,3,"sultanpur district",387814,8331039
"agra district",2022,3,"agra district",1426154,20256530
"fatehpur district",2022,3,"fatehpur district",292522,15831282
"rae bareli district",2022,3,"rae bareli district",337333,13781451
"firozabad district",2022,3,"firozabad district",531310,10951452
"kheri district",2022,3,"kheri district",577837,25859939
"gorakhpur district",2022,3,"gorakhpur district",1148103,14568239
"unnao district",2022,3,"unnao district",376810,18095578
"prayagraj district",2022,3,"prayagraj district",1678668,21471432
"sonbhadra district",2022,3,"sonbhadra district",348944,35727209
"ghazipur district",2022,3,"ghazipur district",660956,7231266
"farrukhabad district",2022,3,"farrukhabad district",298591,10751823
"kannauj district",2022,3,"kannauj district",256849,9961259
"azamgarh district",2022,3,"azamgarh district",746045,8473779
"ayodhya district",2022,3,"ayodhya district",476884,8489087
"deoria district",2022,3,"deoria district",632752,5016891
"ghaziabad district",2022,3,"ghaziabad district",2549377,10277514
"amethi district",2022,4,"amethi district",331764,12719095
"siddharthnagar district",2022,4,"siddharthnagar district",336532,16403045
"auraiya district",2022,4,"auraiya district",255605,9228119
"sambhal district",2022,4,"sambhal district",275307,14049528
"kanpur nagar district",2022,4,"kanpur nagar district",1673173,43605399
"aligarh district",2022,4,"aligarh district",912129,37404998
"mahoba district",2022,4,"mahoba district",137382,5528543
"lucknow district",2022,4,"lucknow district",2734333,79861785
"sant kabeer nagar district",2022,4,"sant kabeer nagar district",260490,10659515
"hathras district",2022,4,"hathras district",311414,14551102
"budaun district",2022,4,"budaun district",363274,15614019
"moradabad district",2022,4,"moradabad district",619119,29244078
"kushinagar district",2022,4,"kushinagar district",690975,28657586
"baghpat district",2022,4,"baghpat district",319482,12193476
"shahjahanpur district",2022,4,"shahjahanpur district",422458,12943043
"muzaffarnagar district",2022,4,"muzaffarnagar district",596271,26153577
"ambedkar nagar district",2022,4,"ambedkar nagar district",410216,13630487
"bahraich district",2022,4,"bahraich district",306258,12952792
"jalaun district",2022,4,"jalaun district",308934,12951272
"rampur district",2022,4,"rampur district",331077,17519826
"ballia district",2022,4,"ballia district",645949,22793841
"shravasti district",2022,4,"shravasti district",79245,3247524
"kasganj district",2022,4,"kasganj district",214531,8730028
"varanasi district",2022,4,"varanasi district",1641943,44430180
"gautam buddha nagar district",2022,4,"gautam buddha nagar district",3286371,135511070
"basti district",2022,4,"basti district",434060,17777787
"shamli district",2022,4,"shamli district",254021,12465356
"maharajganj district",2022,4,"maharajganj district",444905,16267158
"etawah district",2022,4,"etawah district",336655,13390833
"etah district",2022,4,"etah district",289979,13345986
"banda district",2022,4,"banda district",208349,7554225
"bijnor district",2022,4,"bijnor district",590130,23868834
"hardoi district",2022,4,"hardoi district",431274,14038931
"balrampur district",2022,4,"balrampur district",202052,11214039
"amroha district",2022,4,"amroha district",328276,16744056
"pilibhit district",2022,4,"pilibhit district",313713,10251429
"mainpuri district",2022,4,"mainpuri district",335366,14017965
"kanpur dehat district",2022,4,"kanpur dehat district",253280,11126888
"jaunpur district",2022,4,"jaunpur district",877935,30707983
"kaushambi district",2022,4,"kaushambi district",171007,6690129
"hapur district",2022,4,"hapur district",384529,16930134
"hamirpur district",2022,4,"hamirpur district",174336,6534219
"meerut district",2022,4,"meerut district",1127324,41185091
"mathura district",2022,4,"mathura district",842841,38383011
"chitrakoot district",2022,4,"chitrakoot district",121558,5344757
"lalitpur district",2022,4,"lalitpur district",208434,9504939
"mau district",2022,4,"mau district",394376,13957484
"mirzapur district",2022,4,"mirzapur district",421064,14522855
"bulandshahr district",2022,4,"bulandshahr district",716597,33533669
"gonda district",2022,4,"gonda district",410002,18882345
"jhansi district",2022,4,"jhansi district",618141,24090068
"chandauli district",2022,4,"chandauli district",402790,13759691
"bhadohi district",2022,4,"bhadohi district",307145,9367591
"pratapgarh district",2022,4,"pratapgarh district",499521,18450397
"saharanpur district",2022,4,"saharanpur district",776234,38406876
"bara banki district",2022,4,"bara banki district",392384,14335451
"bareilly district",2022,4,"bareilly district",1025341,38525234
"sitapur district",2022,4,"sitapur district",538245,14354836
"sultanpur district",2022,4,"sultanpur district",406332,14279533
"agra district",2022,4,"agra district",1497144,58125962
"fatehpur district",2022,4,"fatehpur district",305820,9877022
"rae bareli district",2022,4,"rae bareli district",352816,12036471
"firozabad district",2022,4,"firozabad district",558101,20561220
"kheri district",2022,4,"kheri district",604799,15896719
"gorakhpur district",2022,4,"gorakhpur district",1205580,41769201
"unnao district",2022,4,"unnao district",393919,13070433
"prayagraj district",2022,4,"prayagraj district",1763014,51367309
"sonbhadra district",2022,4,"sonbhadra district",365610,16739269
"ghazipur district",2022,4,"ghazipur district",694386,24971104
"farrukhabad district",2022,4,"farrukhabad district",313379,12472311
"kannauj district",2022,4,"kannauj district",269252,11747502
"azamgarh district",2022,4,"azamgarh district",781790,29451467
"ayodhya district",2022,4,"ayodhya district",499779,17668034
"deoria district",2022,4,"deoria district",663945,25778548
"ghaziabad district",2022,4,"ghaziabad district",2676888,76077511
"udham singh nagar district",2018,1,"udham singh nagar district",100236,0
"haridwar district",2018,1,"haridwar district",104823,0
"almora district",2018,1,"almora district",11367,0
"pithoragarh district",2018,1,"pithoragarh district",8836,0
"rudraprayag district",2018,1,"rudraprayag district",4263,0
"pauri garhwal district",2018,1,"pauri garhwal district",20425,0
"bageshwar district",2018,1,"bageshwar district",4231,0
"champawat district",2018,1,"champawat district",5442,0
"nainital district",2018,1,"nainital district",49083,0
"dehradun district",2018,1,"dehradun district",147998,0
"chamoli district",2018,1,"chamoli district",7493,0
"uttarkashi district",2018,1,"uttarkashi district",5816,0
"tehri garhwal district",2018,1,"tehri garhwal district",13030,0
"udham singh nagar district",2018,2,"udham singh nagar district",132549,0
"haridwar district",2018,2,"haridwar district",140718,0
"almora district",2018,2,"almora district",15473,0
"pithoragarh district",2018,2,"pithoragarh district",12486,0
"rudraprayag district",2018,2,"rudraprayag district",6028,0
"pauri garhwal district",2018,2,"pauri garhwal district",28153,0
"bageshwar district",2018,2,"bageshwar district",5915,0
"champawat district",2018,2,"champawat district",7632,0
"nainital district",2018,2,"nainital district",65142,0
"dehradun district",2018,2,"dehradun district",198296,0
"chamoli district",2018,2,"chamoli district",10502,0
"uttarkashi district",2018,2,"uttarkashi district",8227,0
"tehri garhwal district",2018,2,"tehri garhwal district",18021,0
"udham singh nagar district",2018,3,"udham singh nagar district",162754,0
"haridwar district",2018,3,"haridwar district",174526,0
"almora district",2018,3,"almora district",20152,0
"pithoragarh district",2018,3,"pithoragarh district",16483,0
"rudraprayag district",2018,3,"rudraprayag district",7979,0
"pauri garhwal district",2018,3,"pauri garhwal district",36059,0
"bageshwar district",2018,3,"bageshwar district",7784,0
"champawat district",2018,3,"champawat district",9982,0
"nainital district",2018,3,"nainital district",79936,0
"dehradun district",2018,3,"dehradun district",246477,0
"chamoli district",2018,3,"chamoli district",14112,0
"uttarkashi district",2018,3,"uttarkashi district",10793,0
"tehri garhwal district",2018,3,"tehri garhwal district",23575,0
"udham singh nagar district",2018,4,"udham singh nagar district",200079,0
"haridwar district",2018,4,"haridwar district",217634,0
"almora district",2018,4,"almora district",26282,0
"pithoragarh district",2018,4,"pithoragarh district",21378,0
"rudraprayag district",2018,4,"rudraprayag district",10229,0
"pauri garhwal district",2018,4,"pauri garhwal district",45898,0
"bageshwar district",2018,4,"bageshwar district",9800,0
"champawat district",2018,4,"champawat district",12649,0
"nainital district",2018,4,"nainital district",98591,0
"dehradun district",2018,4,"dehradun district",306969,0
"chamoli district",2018,4,"chamoli district",18391,0
"uttarkashi district",2018,4,"uttarkashi district",14114,0
"tehri garhwal district",2018,4,"tehri garhwal district",30089,0
"udham singh nagar district",2019,1,"udham singh nagar district",238514,0
"haridwar district",2019,1,"haridwar district",262411,0
"almora district",2019,1,"almora district",33092,0
"pithoragarh district",2019,1,"pithoragarh district",26621,0
"rudraprayag district",2019,1,"rudraprayag district",12967,0
"pauri garhwal district",2019,1,"pauri garhwal district",56173,0
"bageshwar district",2019,1,"bageshwar district",12260,0
"champawat district",2019,1,"champawat district",15679,0
"nainital district",2019,1,"nainital district",118824,0
"dehradun district",2019,1,"dehradun district",369578,0
"chamoli district",2019,1,"chamoli district",23274,0
"uttarkashi district",2019,1,"uttarkashi district",17873,0
"tehri garhwal district",2019,1,"tehri garhwal district",37689,0
"udham singh nagar district",2019,2,"udham singh nagar district",266958,1445656
"haridwar district",2019,2,"haridwar district",299436,1709877
"almora district",2019,2,"almora district",39593,192173
"pithoragarh district",2019,2,"pithoragarh district",32308,148023
"rudraprayag district",2019,2,"rudraprayag district",15761,98011
"pauri garhwal district",2019,2,"pauri garhwal district",65607,322540
"bageshwar district",2019,2,"bageshwar district",15082,57914
"champawat district",2019,2,"champawat district",18443,75783
"nainital district",2019,2,"nainital district",137114,606173
"dehradun district",2019,2,"dehradun district",428353,2311421
"chamoli district",2019,2,"chamoli district",28063,142260
"uttarkashi district",2019,2,"uttarkashi district",21969,107364
"tehri garhwal district",2019,2,"tehri garhwal district",45652,237084
"udham singh nagar district",2019,3,"udham singh nagar district",292858,4445854
"haridwar district",2019,3,"haridwar district",334619,5961468
"almora district",2019,3,"almora district",44182,483290
"pithoragarh district",2019,3,"pithoragarh district",36353,424940
"rudraprayag district",2019,3,"rudraprayag district",18065,238590
"pauri garhwal district",2019,3,"pauri garhwal district",73363,882928
"bageshwar district",2019,3,"bageshwar district",16943,159321
"champawat district",2019,3,"champawat district",20481,236496
"nainital district",2019,3,"nainital district",153561,1918096
"dehradun district",2019,3,"dehradun district",486157,8514501
"chamoli district",2019,3,"chamoli district",32036,404145
"uttarkashi district",2019,3,"uttarkashi district",25151,331612
"tehri garhwal district",2019,3,"tehri garhwal district",52090,659747
"udham singh nagar district",2019,4,"udham singh nagar district",319839,5095900
"haridwar district",2019,4,"haridwar district",368737,6710304
"almora district",2019,4,"almora district",49664,617545
"pithoragarh district",2019,4,"pithoragarh district",40980,492315
"rudraprayag district",2019,4,"rudraprayag district",20470,266933
"pauri garhwal district",2019,4,"pauri garhwal district",81489,1047368
"bageshwar district",2019,4,"bageshwar district",19160,187978
"champawat district",2019,4,"champawat district",22957,268152
"nainital district",2019,4,"nainital district",169212,2238913
"dehradun district",2019,4,"dehradun district",537026,10294347
"chamoli district",2019,4,"chamoli district",35948,451166
"uttarkashi district",2019,4,"uttarkashi district",28653,386533
"tehri garhwal district",2019,4,"tehri garhwal district",58542,796413
"udham singh nagar district",2020,1,"udham singh nagar district",351112,5680060
"haridwar district",2020,1,"haridwar district",408768,7742684
"almora district",2020,1,"almora district",55964,654844
"pithoragarh district",2020,1,"pithoragarh district",46554,578620
"rudraprayag district",2020,1,"rudraprayag district",23316,313705
"pauri garhwal district",2020,1,"pauri garhwal district",90270,1126535
"bageshwar district",2020,1,"bageshwar district",21756,240952
"champawat district",2020,1,"champawat district",25824,318138
"nainital district",2020,1,"nainital district",186948,2555070
"dehradun district",2020,1,"dehradun district",593420,11517755
"chamoli district",2020,1,"chamoli district",40668,535854
"uttarkashi district",2020,1,"uttarkashi district",32713,466273
"tehri garhwal district",2020,1,"tehri garhwal district",66293,900775
"udham singh nagar district",2020,2,"udham singh nagar district",383547,5359520
"haridwar district",2020,2,"haridwar district",448939,7034053
"almora district",2020,2,"almora district",64523,1046539
"pithoragarh district",2020,2,"pithoragarh district",53375,800362
"rudraprayag district",2020,2,"rudraprayag district",26968,444634
"pauri garhwal district",2020,2,"pauri garhwal district",101276,1372488
"bageshwar district",2020,2,"bageshwar district",25163,374922
"champawat district",2020,2,"champawat district",29540,455707
"nainital district",2020,2,"nainital district",206076,2619859
"dehradun district",2020,2,"dehradun district",649026,9008962
"chamoli district",2020,2,"chamoli district",46467,720942
"uttarkashi district",2020,2,"uttarkashi district",37671,652111
"tehri garhwal district",2020,2,"tehri garhwal district",75996,1184694
"udham singh nagar district",2020,3,"udham singh nagar district",418390,6671041
"haridwar district",2020,3,"haridwar district",491252,8936480
"almora district",2020,3,"almora district",72829,1336245
"pithoragarh district",2020,3,"pithoragarh district",60279,1010673
"rudraprayag district",2020,3,"rudraprayag district",30389,547787
"pauri garhwal district",2020,3,"pauri garhwal district",112287,1825649
"bageshwar district",2020,3,"bageshwar district",28329,461430
"champawat district",2020,3,"champawat district",33279,555158
"nainital district",2020,3,"nainital district",227497,3413516
"dehradun district",2020,3,"dehradun district",711303,12440947
"chamoli district",2020,3,"chamoli district",52184,906265
