State,Year,Quater,District,reg_user,app_opens
"spsr nellore district",2021,3,"spsr nellore district",1263550,90102349
"vizianagaram district",2021,3,"vizianagaram district",784444,46277311
"ysr district",2021,3,"ysr district",1183377,86369956
"west godavari district",2021,3,"west godavari district",1436576,80244808
"chittoor district",2021,3,"chittoor district",2007011,135043395
"east godavari district",2021,4,"east godavari district",2294347,142536856
"srikakulam district",2021,4,"srikakulam district",965335,61654215
"visakhapatnam district",2021,4,"visakhapatnam district",2888774,188757640
"prakasam district",2021,4,"prakasam district",1325728,86410317
"anantapur district",2021,4,"anantapur district",1719437,120768682
"kurnool district",2021,4,"kurnool district",1628242,97379271
"guntur district",2021,4,"guntur district",2252443,130920743
"krishna district",2021,4,"krishna district",2288148,134436469
"spsr nellore district",2021,4,"spsr nellore district",1349290,90814672
"vizianagaram district",2021,4,"vizianagaram district",839606,56101822
"ysr district",2021,4,"ysr district",1262963,83534122
"west godavari district",2021,4,"west godavari district",1532898,100007280
"chittoor district",2021,4,"chittoor district",2141818,154395512
"east godavari district",2022,1,"east godavari district",2432305,87134562
"srikakulam district",2022,1,"srikakulam district",1027283,46691467
"visakhapatnam district",2022,1,"visakhapatnam district",3061324,88803090
"prakasam district",2022,1,"prakasam district",1408929,104851997
"anantapur district",2022,1,"anantapur district",1827094,155792533
"kurnool district",2022,1,"kurnool district",1729513,119653214
"guntur district",2022,1,"guntur district",2387051,88844052
"krishna district",2022,1,"krishna district",2423373,85871644
"spsr nellore district",2022,1,"spsr nellore district",1431664,101671767
"vizianagaram district",2022,1,"vizianagaram district",892889,44804002
"ysr district",2022,1,"ysr district",1339782,98878499
"west godavari district",2022,1,"west godavari district",1626039,87642475
"chittoor district",2022,1,"chittoor district",2270705,144146671
"east godavari district",2022,2,"east godavari district",2564165,93383888
"srikakulam district",2022,2,"srikakulam district",1086164,51087942
"visakhapatnam district",2022,2,"visakhapatnam district",3226029,93552701
"prakasam district",2022,2,"prakasam district",1487589,108172758
"anantapur district",2022,2,"anantapur district",1928213,181499094
"kurnool district",2022,2,"kurnool district",1825280,136447455
"guntur district",2022,2,"guntur district",2514794,91997209
"krishna district",2022,2,"krishna district",2552107,95341487
"spsr nellore district",2022,2,"spsr nellore district",1509927,108755384
"vizianagaram district",2022,2,"vizianagaram district",943242,50230853
"ysr district",2022,2,"ysr district",1412848,106157470
"west godavari district",2022,2,"west godavari district",1714357,103338893
"chittoor district",2022,2,"chittoor district",2392549,158771722
"east godavari district",2022,3,"east godavari district",2702234,85780890
"srikakulam district",2022,3,"srikakulam district",1147016,46323107
"visakhapatnam district",2022,3,"visakhapatnam district",3397514,87888969
"prakasam district",2022,3,"prakasam district",1567520,114185009
"anantapur district",2022,3,"anantapur district",2030824,181038520
"kurnool district",2022,3,"kurnool district",1924127,143715547
"guntur district",2022,3,"guntur district",2647100,91146114
"krishna district",2022,3,"krishna district",2685215,86220959
"spsr nellore district",2022,3,"spsr nellore district",1588875,105928407
"vizianagaram district",2022,3,"vizianagaram district",995141,46767889
"ysr district",2022,3,"ysr district",1487140,107976611
"west godavari district",2022,3,"west godavari district",1805967,97509407
"chittoor district",2022,3,"chittoor district",2517657,162524274
"east godavari district",2022,4,"east godavari district",2835087,173720880
