State,Year,Quater,Reg_user,Device_brand,Device_count
dadra-&-nagar-haveli-&-daman-&-diu,2022,1,424570,Vivo,111699
dadra-&-nagar-haveli-&-daman-&-diu,2022,2,449016,Vivo,111699
dadra-&-nagar-haveli-&-daman-&-diu,2022,3,474807,Vivo,111699
dadra-&-nagar-haveli-&-daman-&-diu,2022,4,500125,Vivo,111699
delhi,2018,1,2087022,Xiaomi,529823
delhi,2018,2,2756141,Xiaomi,708839
delhi,2018,3,3504911,Xiaomi,908753
delhi,2018,4,4630313,Xiaomi,1206379
delhi,2019,1,5499263,Xiaomi,1428603
delhi,2019,2,6165448,Xiaomi,1597465
delhi,2019,3,6782286,Xiaomi,1749719
delhi,2019,4,7289883,Xiaomi,1872284
delhi,2020,1,7826197,Xiaomi,1998766
delhi,2020,2,8391139,Xiaomi,2125586
delhi,2020,3,9044174,Xiaomi,2264717
delhi,2020,4,9747968,Xiaomi,2416705
delhi,2021,1,10467210,Xiaomi,2575350
delhi,2021,2,11182699,Xiaomi,2731995
delhi,2021,3,11980061,Xiaomi,2897206
delhi,2021,4,12785127,Xiaomi,3028207
delhi,2022,1,13539197,Xiaomi,3155264
delhi,2022,2,14260143,Xiaomi,3155264
delhi,2022,3,15009523,Xiaomi,3155264
delhi,2022,4,15764149,Xiaomi,3155264
goa,2018,1,91936,Xiaomi,23388
goa,2018,2,122174,Xiaomi,31481
goa,2018,3,153802,Xiaomi,39803
goa,2018,4,195350,Xiaomi,50867
goa,2019,1,238152,Xiaomi,62065
goa,2019,2,278940,Xiaomi,72286
goa,2019,3,317194,Xiaomi,81621
goa,2019,4,353546,Xiaomi,90791
goa,2020,1,391900,Xiaomi,100364
goa,2020,2,430639,Xiaomi,109624
goa,2020,3,474962,Xiaomi,119983
goa,2020,4,527584,Xiaomi,132099
goa,2021,1,570035,Xiaomi,142193
goa,2021,2,609106,Xiaomi,152107
goa,2021,3,653458,Xiaomi,163235
goa,2021,4,697178,Xiaomi,172749
goa,2022,1,738628,Xiaomi,181266
goa,2022,2,777779,Xiaomi,181266
goa,2022,3,817830,Xiaomi,181266
goa,2022,4,855202,Xiaomi,181266
gujarat,2018,1,2690048,Xiaomi,655082
gujarat,2018,2,3565825,Xiaomi,877057
gujarat,2018,3,4433183,Xiaomi,1090580
gujarat,2018,4,5579040,Xiaomi,1363826
gujarat,2019,1,6652536,Xiaomi,1611706
gujarat,2019,2,7574645,Xiaomi,1819154
gujarat,2019,3,8429299,Xiaomi,2007322
gujarat,2019,4,9323799,Xiaomi,2194279
gujarat,2020,1,10259843,Xiaomi,2375291
gujarat,2020,2,11392657,Xiaomi,2596510
gujarat,2020,3,12467847,Vivo,2833786
gujarat,2020,4,13605203,Vivo,3159752
gujarat,2021,1,14670126,Vivo,3492512
gujarat,2021,2,15735981,Vivo,3834323
gujarat,2021,3,16946761,Vivo,4261214
gujarat,2021,4,18139201,Vivo,4645259
gujarat,2022,1,19265314,Vivo,4996272
gujarat,2022,2,20321596,Vivo,4996272
gujarat,2022,3,21394721,Vivo,4996272
gujarat,2022,4,22412353,Vivo,4996272
haryana,2018,1,1847357,Xiaomi,444407
haryana,2018,2,2447221,Xiaomi,599986
haryana,2018,3,3020398,Xiaomi,751015
haryana,2018,4,3793079,Xiaomi,948615
haryana,2019,1,4538767,Xiaomi,1136307
haryana,2019,2,5178030,Xiaomi,1301537
haryana,2019,3,5783752,Xiaomi,1453801
haryana,2019,4,6366679,Xiaomi,1597800
haryana,2020,1,7018770,Xiaomi,1753322
haryana,2020,2,7682878,Xiaomi,1914791
haryana,2020,3,8398816,Xiaomi,2075024
haryana,2020,4,9129873,Xiaomi,2236661
haryana,2021,1,9827905,Xiaomi,2382996
haryana,2021,2,10530594,Xiaomi,2505880
haryana,2021,3,11325336,Xiaomi,2638176
haryana,2021,4,12116439,Xiaomi,2742821
haryana,2022,1,12866988,Xiaomi,2837979
haryana,2022,2,13576065,Xiaomi,2837979
haryana,2022,3,14303933,Xiaomi,2837979
haryana,2022,4,14994944,Xiaomi,2837979
himachal-pradesh,2018,1,227373,Xiaomi,63002
himachal-pradesh,2018,2,315299,Xiaomi,89506
himachal-pradesh,2018,3,407634,Xiaomi,119009
himachal-pradesh,2018,4,526343,Xiaomi,155301
himachal-pradesh,2019,1,653205,Xiaomi,194324
himachal-pradesh,2019,2,772603,Xiaomi,230589
himachal-pradesh,2019,3,876184,Xiaomi,263685
himachal-pradesh,2019,4,985945,Xiaomi,297684
himachal-pradesh,2020,1,1106025,Xiaomi,333918
himachal-pradesh,2020,2,1249867,Xiaomi,375976
himachal-pradesh,2020,3,1378634,Xiaomi,412600
himachal-pradesh,2020,4,1508766,Xiaomi,448361
himachal-pradesh,2021,1,1622951,Xiaomi,481737
himachal-pradesh,2021,2,1743151,Xiaomi,513196
himachal-pradesh,2021,3,1880626,Xiaomi,549749
himachal-pradesh,2021,4,2013747,Xiaomi,583871
himachal-pradesh,2022,1,2143483,Xiaomi,615419
himachal-pradesh,2022,2,2264407,Xiaomi,615419
himachal-pradesh,2022,3,2381576,Xiaomi,615419
himachal-pradesh,2022,4,2483076,Xiaomi,615419
jammu-&-kashmir,2018,1,176425,Xiaomi,60568
jammu-&-kashmir,2018,2,261609,Xiaomi,92362
jammu-&-kashmir,2018,3,342529,Xiaomi,120343
jammu-&-kashmir,2018,4,436563,Xiaomi,153238
jammu-&-kashmir,2019,1,530669,Xiaomi,189565
jammu-&-kashmir,2019,2,631193,Xiaomi,226055
jammu-&-kashmir,2019,3,658455,Xiaomi,236869
jammu-&-kashmir,2019,4,673367,Xiaomi,241041
jammu-&-kashmir,2020,1,735408,Xiaomi,262773
jammu-&-kashmir,2020,2,845294,Xiaomi,302140
jammu-&-kashmir,2020,3,949819,Xiaomi,337986
jammu-&-kashmir,2020,4,1079022,Xiaomi,383539
jammu-&-kashmir,2021,1,1174818,Xiaomi,418392
jammu-&-kashmir,2021,2,1261267,Xiaomi,446949
jammu-&-kashmir,2021,3,1359860,Xiaomi,478671
jammu-&-kashmir,2021,4,1456810,Xiaomi,509234
jammu-&-kashmir,2022,1,1549320,Xiaomi,535687
jammu-&-kashmir,2022,2,1635570,Xiaomi,535687
jammu-&-kashmir,2022,3,1719185,Xiaomi,535687
jammu-&-kashmir,2022,4,1793434,Xiaomi,535687
jharkhand,2018,1,885762,Xiaomi,245371
jharkhand,2018,2,1230599,Xiaomi,346963
jharkhand,2018,3,1532362,Xiaomi,439833
jharkhand,2018,4,1913949,Xiaomi,554142
jharkhand,2019,1,2279329,Xiaomi,661118
jharkhand,2019,2,2604854,Xiaomi,756561
jharkhand,2019,3,2915511,Xiaomi,851598
jharkhand,2019,4,3281371,Xiaomi,958796
jharkhand,2020,1,3651393,Xiaomi,1062496
jharkhand,2020,2,4061035,Xiaomi,1173662
jharkhand,2020,3,4480027,Xiaomi,1282150
